State,Date,Hourly Demand Met (in MW)
Delhi - 2024,18-Jan 2am,1936.14
Delhi - 2024,18-Jan 3am,1853.94
Delhi - 2024,18-Jan 4am,1913.99
Delhi - 2024,18-Jan 5am,2259.84
Delhi - 2024,18-Jan 6am,3113.46
Delhi - 2024,18-Jan 7am,4343.64
Delhi - 2024,18-Jan 8am,4936.10
Delhi - 2024,18-Jan 9am,5118.37
Delhi - 2024,18-Jan 10am,5337.43
Delhi - 2024,18-Jan 11am,5172.87
Delhi - 2024,18-Jan 12pm,4794.49
Delhi - 2024,18-Jan 1pm,4323.27
Delhi - 2024,18-Jan 2pm,4233.41
Delhi - 2024,18-Jan 3pm,4187.93
Delhi - 2024,18-Jan 4pm,4139.64
Delhi - 2024,18-Jan 5pm,4295.77
Delhi - 2024,18-Jan 6pm,4522.50
Delhi - 2024,18-Jan 7pm,4501.47
Delhi - 2024,18-Jan 8pm,4285.68
Delhi - 2024,18-Jan 9pm,4063.78
Delhi - 2024,18-Jan 10pm,3700.17
Delhi - 2024,18-Jan 11pm,3068.43
Delhi - 2024,19-Jan 12am,2470.16
Delhi - 2024,19-Jan 1am,2111.50
Delhi - 2024,19-Jan 2am,1945.37
Delhi - 2024,19-Jan 3am,1851.86
Delhi - 2024,19-Jan 4am,1896.55
Delhi - 2024,19-Jan 5am,2256.91
Delhi - 2024,19-Jan 6am,3125.39
Delhi - 2024,19-Jan 7am,4361.68
Delhi - 2024,19-Jan 8am,5047.81
Delhi - 2024,19-Jan 9am,5367.42
Delhi - 2024,19-Jan 10am,5672.78
Delhi - 2024,19-Jan 11am,5571.44
Delhi - 2024,19-Jan 12pm,5318.22
Delhi - 2024,19-Jan 1pm,4884.19
Delhi - 2024,19-Jan 2pm,4670.90
Delhi - 2024,19-Jan 3pm,4533.86
Delhi - 2024,19-Jan 4pm,4422.27
Delhi - 2024,19-Jan 5pm,4532.76
Delhi - 2024,19-Jan 6pm,4702.05
Delhi - 2024,19-Jan 7pm,4655.40
Delhi - 2024,19-Jan 8pm,4416.56
Delhi - 2024,19-Jan 9pm,4198.64
Delhi - 2024,19-Jan 10pm,3879.51
Delhi - 2024,19-Jan 11pm,3301.41
Delhi - 2024,20-Jan 12am,2730.76
Delhi - 2024,20-Jan 1am,2371.58
Delhi - 2024,20-Jan 2am,2200.34
Delhi - 2024,20-Jan 3am,2126.61
Delhi - 2024,20-Jan 4am,2178.21
Delhi - 2024,20-Jan 5am,2451.86
Delhi - 2024,20-Jan 6am,3134.85
Delhi - 2024,20-Jan 7am,4050.32
Delhi - 2024,20-Jan 8am,4653.71
Delhi - 2024,20-Jan 9am,4934.51
Delhi - 2024,20-Jan 10am,5208.22
Delhi - 2024,20-Jan 11am,5091.99
Delhi - 2024,20-Jan 12pm,4703.11
Delhi - 2024,20-Jan 1pm,4256.76
Delhi - 2024,20-Jan 2pm,4042.29
Delhi - 2024,20-Jan 3pm,3910.02
Delhi - 2024,20-Jan 4pm,3861.45
Delhi - 2024,20-Jan 5pm,4004.70
Delhi - 2024,20-Jan 6pm,4289.85
Delhi - 2024,20-Jan 7pm,4232.89
Delhi - 2024,20-Jan 8pm,4035.09
Delhi - 2024,20-Jan 9pm,3900.83
Delhi - 2024,20-Jan 10pm,3567.84
Delhi - 2024,20-Jan 11pm,3016.47
Delhi - 2024,21-Jan 12am,2440.58
Delhi - 2024,21-Jan 1am,2072.94
Delhi - 2024,21-Jan 2am,1872.98
Delhi - 2024,21-Jan 3am,1779.57
Delhi - 2024,21-Jan 4am,1804.30
Delhi - 2024,21-Jan 5am,2044.72
Delhi - 2024,21-Jan 6am,2556.20
Delhi - 2024,21-Jan 7am,3280.26
Delhi - 2024,21-Jan 8am,4067.93
Delhi - 2024,21-Jan 9am,4661.88
Delhi - 2024,21-Jan 10am,5231.31
Delhi - 2024,21-Jan 11am,5398.05
Delhi - 2024,21-Jan 12pm,5190.85
Delhi - 2024,21-Jan 1pm,4664.95
Delhi - 2024,21-Jan 2pm,4239.19
Delhi - 2024,21-Jan 3pm,3896.66
Delhi - 2024,21-Jan 4pm,3694.60
Delhi - 2024,21-Jan 5pm,3810.12
Delhi - 2024,21-Jan 6pm,4189.10
Delhi - 2024,21-Jan 7pm,4209.21
Delhi - 2024,21-Jan 8pm,4085.72
Delhi - 2024,21-Jan 9pm,3942.93
Delhi - 2024,21-Jan 10pm,3593.81
Delhi - 2024,21-Jan 11pm,2991.06
Delhi - 2024,22-Jan 12am,2435.58
Delhi - 2024,22-Jan 1am,2064.19
Delhi - 2024,22-Jan 2am,1867.99
Delhi - 2024,22-Jan 3am,1781.89
Delhi - 2024,22-Jan 4am,1843.04
Delhi - 2024,22-Jan 5am,2148.69
Delhi - 2024,22-Jan 6am,2827.18
Delhi - 2024,22-Jan 7am,3840.34
Delhi - 2024,22-Jan 8am,4705.61
Delhi - 2024,22-Jan 9am,5313.21
Delhi - 2024,22-Jan 10am,5646.36
Delhi - 2024,22-Jan 11am,5618.71
Delhi - 2024,22-Jan 12pm,5197.46
Delhi - 2024,22-Jan 1pm,4609.23
Delhi - 2024,22-Jan 2pm,4329.81
Delhi - 2024,22-Jan 3pm,4126.65
Delhi - 2024,22-Jan 4pm,3989.77
Delhi - 2024,22-Jan 5pm,4081.42
Delhi - 2024,22-Jan 6pm,4289.07
Delhi - 2024,22-Jan 7pm,4161.48
Delhi - 2024,22-Jan 8pm,4058.31
Delhi - 2024,22-Jan 9pm,3949.75
Delhi - 2024,22-Jan 10pm,3572.37
Delhi - 2024,22-Jan 11pm,2948.39
Delhi - 2024,23-Jan 12am,2357.97
Delhi - 2024,23-Jan 1am,2050.37
Delhi - 2024,23-Jan 2am,1886.35
